"","ID","Q11","Q12","Q13","Q14","Q15","Q16","Q21","Q22","Q23","Q24A","Q24B","Q24C","Q24OUTRO","Q25","Q26","Q27","Q28","Q29","Q210A","Q210B","Q210C","Q210OUTRO","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q41","Q42","Q43A","Q43A_1","Q43B","Q43C","Q210Bmoney","VALOR_PAGO"
"84",84,9,8,6,7,7,8,8,7,7,"tempo","pouco conhecimento","outros meios",NA,6,7,4,7,7,"contabilidade","fiscal","consultoria empresarial",NA,8,6,7,6,6,6,7,5,"de3a5anos","1a2escritorios","bom trabalho","tecnologia","amizade",NA,320,2407.32
"85",85,9,9,9,9,9,9,9,9,9,"compreendo",NA,NA,NA,9,9,9,9,9,"rh","auditoria","folha de pagamento",NA,9,9,9,8,8,8,8,8,"menos1ano","1a2escritorios","bom trabalho","amizade",NA,NA,850,2234.43
"86",86,9,9,9,8,9,8,5,4,3,"tempo","pouco conhecimento","outros","dúvidas sore Imposto de Renda",9,8,1,5,4,"contabilidade","consultoria empresarial","outro",NA,9,5,8,7,8,9,9,9,"de1a3anos","1a2escritorios","bom trabalho","amizade","outro","Conhecimento dos Socios que ti",800,3575.13
"87",87,9,9,9,9,9,9,5,5,5,"outros",NA,NA,NA,5,5,5,5,5,"rh",NA,NA,NA,4,9,9,8,5,5,8,5,"menos1ano","1a2escritorios","bom trabalho",NA,NA,NA,0,1309.94
"88",88,8,8,7,7,8,8,7,7,7,"outros",NA,NA,NA,8,8,7,8,8,"contabilidade","folha de pagamento",NA,NA,7,7,8,6,6,7,8,7,"de1a3anos","1a2escritorios","bom trabalho",NA,NA,NA,90,1327.92
"89",89,8,7,7,7,7,9,8,8,8,"tempo","nao preciso",NA,NA,7,7,7,7,7,"contabilidade","fiscal","folha de pagamento",NA,8,6,6,6,7,7,7,7,"de3a5anos","1a2escritorios","bom trabalho","relatorios",NA,NA,320,1698.16
"90",90,9,9,9,8,8,9,8,8,8,"pouco conhecimento",NA,NA,NA,8,8,8,8,8,"contabilidade","fiscal","folha de pagamento",NA,9,9,9,9,9,8,9,6,"de3a5anos","1a2escritorios","bom trabalho",NA,NA,NA,320,1692.61
"91",91,9,8,8,8,9,9,5,5,5,"outros",NA,NA,"Consultoria Contábil",8,9,7,8,9,"folha de pagamento","outro",NA,NA,5,9,9,9,1,8,9,1,"menos1ano","1a2escritorios","bom trabalho","prazo","tecnologia",NA,1500,2716.24
"92",92,9,9,9,9,9,9,9,6,9,"outros meios","nao preciso","compreendo",NA,9,6,9,9,9,"contabilidade",NA,NA,NA,9,9,9,9,4,9,9,9,"menos1ano","nenhumescritorio","bom trabalho","amizade",NA,NA,0,1275.43
"93",93,9,9,8,8,8,8,9,9,9,"outros",NA,NA,NA,8,8,8,9,8,"contabilidade","fiscal","folha de pagamento",NA,9,9,9,8,9,9,9,8,"de5a10anos","nenhumescritorio","bom trabalho",NA,NA,NA,320,1639.29
"94",94,9,9,9,9,9,9,9,9,9,"compreendo",NA,NA,NA,9,9,7,8,9,"fiscal","folha de pagamento",NA,NA,9,9,9,1,1,7,9,9,"de5a10anos","1a2escritorios","bom trabalho",NA,NA,NA,90,1565.74
"95",95,9,8,8,8,9,9,9,9,9,"compreendo",NA,NA,NA,8,8,2,7,8,"contabilidade","fiscal","folha de pagamento",NA,9,8,8,7,7,7,7,8,"de5a10anos","nenhumescritorio","bom trabalho","prazo","amizade",NA,320,1660.82
"96",96,9,9,9,1,9,9,9,9,9,"compreendo",NA,NA,NA,9,1,1,9,9,"rh","fiscal","folha de pagamento",NA,9,7,7,6,6,6,7,6,"de5a10anos","1a2escritorios","bom trabalho","amizade",NA,NA,320,1748.84
"97",97,9,7,8,9,9,8,7,7,6,"pouco conhecimento","outros",NA,NA,6,7,6,9,8,"contabilidade","rh","folha de pagamento",NA,8,9,9,7,6,6,9,8,"de5a10anos","1a2escritorios","bom trabalho","amizade","outro","confiabilidade",150,1448.63
"98",98,9,9,9,9,9,9,9,9,9,"compreendo",NA,NA,NA,9,9,1,9,9,"contabilidade","fiscal","folha de pagamento",NA,9,9,9,9,9,9,9,9,"de5a10anos","1a2escritorios","bom trabalho","prazo","amizade",NA,320,1665.61
"99",99,8,8,8,7,8,8,8,8,8,"compreendo",NA,NA,NA,7,7,2,6,8,"contabilidade","fiscal","folha de pagamento",NA,7,7,7,3,5,6,7,6,"de5a10anos","nenhumescritorio","bom trabalho","relatorios","amizade",NA,320,1696.29
"100",100,9,9,9,9,9,9,7,7,7,"outros",NA,NA,NA,9,9,3,9,9,"contabilidade","fiscal","folha de pagamento",NA,9,5,9,7,1,3,9,9,"menos1ano","nenhumescritorio","bom trabalho","prazo","outro","organização",320,1698.24
"101",101,8,8,9,8,8,7,8,8,7,"outros meios","compreendo",NA,NA,7,7,7,8,7,"contabilidade","folha de pagamento","consultoria empresarial",NA,8,6,6,6,6,7,7,6,"maisde10anos","nenhumescritorio","bom trabalho","prazo","amizade",NA,90,2156.85
"102",102,9,8,8,8,9,8,9,9,9,"outros meios","compreendo",NA,NA,9,8,1,8,9,"contabilidade","fiscal","folha de pagamento",NA,9,8,8,9,5,8,9,5,"menos1ano","nenhumescritorio","bom trabalho","relatorios","tecnologia",NA,320,1708.04
"103",103,9,9,9,9,9,5,9,9,9,"tempo","pouco conhecimento","nao preciso",NA,9,9,9,9,9,"contabilidade","fiscal","consultoria empresarial",NA,9,9,9,9,9,9,9,9,"maisde10anos","nenhumescritorio","bom trabalho","tecnologia","amizade",NA,320,2433.16
"104",104,8,8,7,7,7,4,9,9,8,"nao preciso","compreendo",NA,NA,9,8,1,7,8,"contabilidade",NA,NA,NA,9,9,9,7,7,7,9,9,"de3a5anos","nenhumescritorio","bom trabalho","amizade",NA,NA,0,1207.99
